id,image_name,captured_at,sequence,lat,long,orientation,c_lat,c_long
31,IMG_1540.JPG,2024:10:25 17:48:58,custom,52.09122777777778,5.119999999999999,316.81811541271003,52.09124211820032,5.120181438575621
32,IMG_1554.JPG,2024:10:25 17:55:59,custom,52.09070277777778,5.120127777777777,337.76072690560324,52.090786453607016,5.120422837388419
33,IMG_1583.JPG,2024:10:25 18:05:58,custom,52.09184166666667,5.1190083333333325,299.8349152542373,52.09186865280266,5.119055402551572
34,IMG_1597.JPG,2024:10:25 18:36:02,custom,52.09191944444445,5.1172861111111105,207.26628895184135,52.09192647667911,5.11734847068606
35,IMG_1581.JPG,2024:10:25 18:05:48,custom,52.091861111111115,5.11895,304.5312195121951,52.09186865280266,5.119055402551572
36,IMG_1595.JPG,2024:10:25 18:12:30,custom,52.091927777777784,5.11733611111111,210.6925659472422,52.09192647667911,5.11734847068606
37,IMG_1542.JPG,2024:10:25 17:50:35,custom,52.091347222222225,5.119802777777777,261.36767578125,52.09145378156313,5.119650182401067
38,IMG_1556.JPG,2024:10:25 17:58:07,custom,52.09091666666667,5.120205555555555,336.0905002810568,52.09096484726034,5.120400038611725
39,IMG_1557.JPG,2024:10:25 17:58:08,custom,52.09091666666667,5.120205555555555,335.630081300813,52.09096484726034,5.120400038611725
40,IMG_1543.JPG,2024:10:25 17:50:36,custom,52.09135833333334,5.119802777777777,258.0303650631184,52.09145378156313,5.119650182401067
41,IMG_1594.JPG,2024:10:25 18:12:28,custom,52.091927777777784,5.11733611111111,211.01268011527375,52.09192647667911,5.11734847068606
42,IMG_1599.JPG,2024:10:25 18:36:07,custom,52.09191944444445,5.117288888888888,208.99048625792813,52.09192647667911,5.11734847068606
43,IMG_1566.JPG,2024:10:25 18:01:13,custom,52.09128611111112,5.119930555555555,310.34718309859153,52.09145378156313,5.119650182401067
44,IMG_1572.JPG,2024:10:25 18:02:54,custom,52.09141944444445,5.1196166666666665,304.30711354309165,52.09145378156313,5.119650182401067
46,IMG_1567.JPG,2024:10:25 18:01:14,custom,52.09128611111112,5.119930555555555,311.34564204923487,52.09145378156313,5.119650182401067
47,IMG_1598.JPG,2024:10:25 18:36:04,custom,52.09191944444445,5.117288888888888,209.56471271038885,52.09192647667911,5.11734847068606
48,IMG_1559.JPG,2024:10:25 17:58:19,custom,52.09090833333334,5.120169444444444,337.38174460431657,52.09096484726034,5.120400038611725
50,IMG_1565.JPG,2024:10:25 18:01:12,custom,52.09128611111112,5.119930555555555,307.1043091655267,52.09145378156313,5.119650182401067
51,IMG_1564.JPG,2024:10:25 18:01:07,custom,52.09128055555556,5.119941666666667,302.0427856167501,52.09124211820032,5.120181438575621
52,IMG_1558.JPG,2024:10:25 17:58:14,custom,52.09091666666667,5.120202777777777,335.65805022156576,52.09096484726034,5.120400038611725
53,IMG_1574.JPG,2024:10:25 18:03:08,custom,52.09141666666667,5.119588888888888,310.3160402329275,52.09145378156313,5.119650182401067
54,IMG_1549.JPG,2024:10:25 17:55:02,custom,52.09070833333334,5.12015,337.30708271421497,52.090786453607016,5.120422837388419
55,IMG_1561.JPG,2024:10:25 17:59:04,custom,52.09090833333334,5.120161111111111,342.8622893666473,52.09096484726034,5.120400038611725
57,IMG_1548 2.JPG,2024:10:25 17:51:06,custom,52.09136111111111,5.119769444444444,250.02381913605169,52.09145378156313,5.119650182401067
58,IMG_1588.JPG,2024:10:25 18:08:24,custom,52.09176666666667,5.118691666666666,255.23077392578125,52.091818536510274,5.118643307088879
59,IMG_1563.JPG,2024:10:25 17:59:08,custom,52.09095277777778,5.1201638888888885,330.2148894668401,52.09096484726034,5.120400038611725
62,IMG_1562.JPG,2024:10:25 17:59:07,custom,52.090941666666666,5.120161111111111,334.6295471417966,52.09096484726034,5.120400038611725
63,IMG_1589.JPG,2024:10:25 18:08:24,custom,52.09176666666667,5.118694444444444,252.66047663262148,52.091818536510274,5.118643307088879
65,IMG_1600.JPG,2024:10:25 18:36:08,custom,52.09191944444445,5.117288888888888,208.18395989974937,52.09192647667911,5.11734847068606
66,IMG_1539.JPG,2024:10:25 17:47:35,custom,52.09125555555555,5.120024999999999,353.25790424570914,52.09124211820032,5.120181438575621
67,IMG_1538.JPG,2024:10:25 17:47:34,custom,52.09125555555555,5.120024999999999,353.21780415430266,52.09124211820032,5.120181438575621
